time,cpu,ram,disk,net_sent,net_recv
1768471815.5767572,14.3,67.9,30.3,0,0
1768471817.58543,4.6,68.2,30.3,4901,1884
1768471819.5944378,6.9,68.3,30.3,39374,26048
1768471821.6054904,3.4,68.2,30.3,23197,13706
1768471823.618859,1.4,68.2,30.3,12663,762
1768471825.6274927,4.5,68.5,30.3,724,1155
1768471827.6344113,2.5,68.3,30.3,248,311
